ID,Sura_No,Verse_No,Word_No,Segment_No,Word,Without_Diacritics,Segmented_Word,Morph_Tag,Morph_Type,Punctuation_Mark,Invariable_Declinable,Syntactic_Role,Possessive_Construct,Case_Mood,Case_Mood_Marker,Phrase,Phrasal_Function,Gloss
1,1,1,1,1,بِسْمِ,بسم,ب,PREP,Prefix,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,KASRA,PHRASE,PRED,in-(the)-name
1,1,1,1,2,بِسْمِ,بسم,اسم,NOUN_ABSTRACT,Stem,,DECLN,PREP_OBJ,CONSTRUCT,GENITIVE,KASRA,,,in-(the)-name
2,1,1,2,1,اللَّهِ,الله,ال,DET,Prefix,,,,,,,,,(of)-allah
2,1,1,2,2,اللَّهِ,الله,له,NOUN_PROP,Stem,,DECLN,GEN_CONS,NOT_CONSTRUCT,GENITIVE,KASRA,,,(of)-allah
3,1,1,3,1,الرَّحْمَنِ,الرحمن,ال,DET,Prefix,,DEF_ART,,,,,,,the-most-gracious
3,1,1,3,2,الرَّحْمَنِ,الرحمن,رحمن,NOUN_PROP,Stem,,DECLN,ADJ,NOT_CONSTRUCT,GENITIVE,KASRA,,,the-most-gracious
4,1,1,4,1,الرَّحِيمِ,الرحيم,ال,DET,Prefix,,DEF_ART,,,,,,,the-most-merciful
4,1,1,4,2,الرَّحِيمِ,الرحيم,رحيم,NOUN_PROP,Stem,.,DECLN,ADJ,NOT_CONSTRUCT,GENITIVE,KASRA,,,the-most-merciful
5,1,2,1,1,الْحَمْدُ,الحمد,ال,DET,Prefix,,DEF_ART,,,,,,,all-praises-and-thanks
5,1,2,1,2,الْحَمْدُ,الحمد,حمد,GERUND,Stem,,DECLN,SUBJ,NOT_CONSTRUCT,NOMINATIVE,DHAMMA,,,all-praises-and-thanks
6,1,2,2,1,لِلَّهِ,لله,ل,PREP,Prefix,,INVAR,PREP,NOT_CONSTRUCT,INVARIABLE,KASRA,PHRASE,PRED,(be)-to-allah
6,1,2,2,2,لِلَّهِ,لله,له,NOUN_PROP,Stem,,DECLN,PREP_OBJ,NOT_CONSTRUCT,GENITIVE,KASRA,,,(be)-to-allah
7,1,2,3,1,رَبِّ,رب,رب,NOUN_CONCRETE,Stem,,DECLN,ADJ,CONSTRUCT,GENITIVE,KASRA,,,the-lord
8,1,2,4,1,الْعَالَمِينَ,العالمين,ال,DET,Prefix,,DEF_ART,,,,,,,of-the-universe
8,1,2,4,2,الْعَالَمِينَ,العالمين,عالم,NOUN_ABSTRACT,Stem,,DECLN,GEN_CONS,NOT_CONSTRUCT,GENITIVE,YAA,,,of-the-universe
8,1,2,4,3,الْعَالَمِينَ,العالمين,ين,NSUFF_MASC_PL_GEN,Suffix,,,,,,,,,of-the-universe
9,1,3,1,1,الرَّحْمَنِ,الرحمن,ال,DET,Prefix,,DEF_ART,,,,,,,the-most-gracious
9,1,3,1,2,الرَّحْمَنِ,الرحمن,رحمن,NOUN_PROP,Stem,,DECLN,ADJ,NOT_CONSTRUCT,GENITIVE,KASRA,,,the-most-gracious
10,1,3,2,1,الرَّحِيمِ,الرحيم,ال,DET,Prefix,,DEF_ART,,,,,,,the-most-merciful
10,1,3,2,2,الرَّحِيمِ,الرحيم,رحيم,NOUN_PROP,Stem,,DECLN,ADJ,NOT_CONSTRUCT,GENITIVE,KASRA,,,the-most-merciful
11,1,4,1,1,مَالِكِ,مالك,مالك,NOUN_ACTIVE_PART,Stem,,DECLN,ADJ,CONSTRUCT,GENITIVE,KASRA,,,(the)-master
12,1,4,2,1,يَوْمِ,يوم,يوم,NOUN_ABSTRACT,Stem,,DECLN,GEN_CONS,CONSTRUCT,GENITIVE,KASRA,,,(of-the)-day
12,1,4,2,2,يَوْمِ,يوم,(null),CASE_DEF_ACC,Suffix,,,,,,,,,(of-the)-day
13,1,4,3,1,الدِّينِ,الدين,ال,DET,Prefix,,DEF_ART,,,,,,,(of-the)-judgment
13,1,4,3,2,الدِّينِ,الدين,دين,NOUN_ABSTRACT,Stem,.,DECLN,GEN_CONS,NOT_CONSTRUCT,GENITIVE,KASRA,,,(of-the)-judgment
14,1,5,1,1,إِيَّاكَ,إياك,إياك,PRON,Stem,,DISJ_INV_PRON,OBJ,NOT_CONSTRUCT,ACCUSATIVE,FATHA,,,you-alone
15,1,5,2,1,نَعْبُدُ,نعبد,ن,IMPERF_PREF,Prefix,,,,,,,,,we-worship
15,1,5,2,2,نَعْبُدُ,نعبد,عبد,IV,Stem,,DECLN,IV,NOT_CONSTRUCT,NOMINATIVE,DHAMMA,,,we-worship
16,1,5,3,1,وَإِيَّاكَ,وإياك,و,CONJ,Prefix,,INVAR,CONJ,NOT_CONSTRUCT,INVARIABLE,FATHA,,,and-you-alone
16,1,5,3,2,وَإِيَّاكَ,وإياك,إياك,PRON,Stem,,DISJ_INV_PRON,OBJ,NOT_CONSTRUCT,ACCUSATIVE,FATHA,,,and-you-alone
